problem_size,peak_memory_basic,peak_memory_efficient
2,0.672,0.768
4,0.68,0.8
6,0.712,0.902
8,0.888,1.088
10,0.984,1.126
12,1.048,1.278
14,1.112,1.432
16,1.866,1.584
18,1.944,1.641
20,2.256,1.777
22,2.552,1.838
24,3.666,2.133
26,4.328,2.141
28,5.44,2.252
30,5.902,2.287
32,8.448,2.305
34,10.524,2.334
36,11.24,2.618
38,10.756,2.456
40,13.99,2.807
42,15.136,2.735
44,16.168,2.971
46,18.89,3.142
48,22.028,3.448
50,23.136,3.395
52,24.504,3.593
54,26.278,3.596
56,28.526,3.738
58,30.034,3.881
60,33.395,3.967
62,34.286,4.054
64,39.042,4.304
66,40.323,4.419
68,43.561,4.505
70,45.197,4.592
72,48.615,4.678
74,50.354,4.765
76,52.314,4.851
78,56.758,4.938
80,59.481,5.312
82,62.933,5.399
84,67.741,5.485
86,71.647,5.572
88,72.882,5.658
90,75.271,5.745
92,79.911,5.831
94,83.341,5.918
96,85.798,6.004
98,88.989,6.091
100,90.796,6.177
102,95.533,6.264
104,104.073,6.638
106,107.689,6.725
108,109.642,6.811
110,115.106,6.898
112,118.533,6.984
114,120.315,7.071
116,126.034,7.157
118,130.51,7.244
120,131.06,7.33
122,135.812,7.417
124,139.992,7.503
126,144.507,7.59
128,154.538,7.964
130,161.386,8.051
132,165.404,8.137
134,168.109,8.336
136,173.19,8.31
138,177.261,8.397
140,182.89,8.483
142,187.925,8.57
144,190.901,8.656
146,195.625,8.743
148,200.37,8.829
150,206.102,8.916
152,221.693,9.386
154,226.162,9.585
156,230.554,9.559
158,235.49,9.758
160,240.314,9.956
162,246.699,9.931000000000001
164,252.575,10.017
166,258.027,10.216
168,263.327,10.078
170,267.293,10.277
172,275.964,10.251
174,280.163,10.562
176,284.984,10.536
178,290.847,10.623
180,298.414,10.709
182,304.822,10.796
184,321.31100000000004,11.266
186,327.912,11.465
188,334.08000000000004,11.551
190,341.038,11.638
192,347.11,11.612
194,352.507,11.811
196,359.73,11.897
198,365.702,11.984
200,372.611,12.07
